#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Thu Oct 20 19:48:23 EDT 2016,0,0,CommandInterpreterMoveSuite, , ,CommandInterpreterArthurMoveLeftArmTestCase- CommandInterpreterGalahadMoveLeftArmTestCase- CommandInterpreterLancelotMoveLeftArmTestCase- CommandInterpreterRobinMoveLeftArmTestCase- ,BridgeSceneFactoryMethodTest CommandInterpreterApproachedArthurMixedSayTestCase CommandInterpreterApproachedArthurSayTestCase CommandInterpreterArthurMixedMoveLeftArmTestCase CommandInterpreterArthurSignedMoveLeftArmTestCase CommandInterpreterFactoryMethodTest CommandInterpreterGalahadSignedMoveLeftArmTestCase CommandInterpreterLancelotSignedMoveLeftArmTestCase CommandInterpreterRobinSignedMoveLeftArmTestCase IllegalCommandNameTestCase MissingFirstArgumentTestCase MissingSecondArgumentTestCase ScannerFactoryMethodTest StringTableFactoryMethodTest StringTableTest ,
1,Thu Oct 20 19:48:27 EDT 2016,0,0,CommandInterpreterApproachedArthurSayTestCase, , ,CommandInterpreterApproachedArthurSayTestCase+ CommandInterpreterArthurMoveLeftArmTestCase CommandInterpreterGalahadMoveLeftArmTestCase CommandInterpreterLancelotMoveLeftArmTestCase CommandInterpreterRobinMoveLeftArmTestCase ,BridgeSceneFactoryMethodTest CommandInterpreterApproachedArthurMixedSayTestCase CommandInterpreterArthurMixedMoveLeftArmTestCase CommandInterpreterArthurSignedMoveLeftArmTestCase CommandInterpreterFactoryMethodTest CommandInterpreterGalahadSignedMoveLeftArmTestCase CommandInterpreterLancelotSignedMoveLeftArmTestCase CommandInterpreterRobinSignedMoveLeftArmTestCase IllegalCommandNameTestCase MissingFirstArgumentTestCase MissingSecondArgumentTestCase ScannerFactoryMethodTest StringTableFactoryMethodTest StringTableTest ,
2,Thu Oct 20 19:48:39 EDT 2016,0,0,CommandInterpreterMixedCaseSuite, , ,CommandInterpreterApproachedArthurMixedSayTestCase+ CommandInterpreterApproachedArthurSayTestCase CommandInterpreterArthurMixedMoveLeftArmTestCase+ CommandInterpreterArthurMoveLeftArmTestCase CommandInterpreterGalahadMoveLeftArmTestCase CommandInterpreterLancelotMoveLeftArmTestCase CommandInterpreterRobinMoveLeftArmTestCase ,BridgeSceneFactoryMethodTest CommandInterpreterArthurSignedMoveLeftArmTestCase CommandInterpreterFactoryMethodTest CommandInterpreterGalahadSignedMoveLeftArmTestCase CommandInterpreterLancelotSignedMoveLeftArmTestCase CommandInterpreterRobinSignedMoveLeftArmTestCase IllegalCommandNameTestCase MissingFirstArgumentTestCase MissingSecondArgumentTestCase ScannerFactoryMethodTest StringTableFactoryMethodTest StringTableTest ,
3,Thu Oct 20 19:48:53 EDT 2016,5,5,StringTableTest,StringTableTest+ , ,CommandInterpreterApproachedArthurMixedSayTestCase CommandInterpreterApproachedArthurSayTestCase CommandInterpreterArthurMixedMoveLeftArmTestCase CommandInterpreterArthurMoveLeftArmTestCase CommandInterpreterGalahadMoveLeftArmTestCase CommandInterpreterLancelotMoveLeftArmTestCase CommandInterpreterRobinMoveLeftArmTestCase ,BridgeSceneFactoryMethodTest CommandInterpreterArthurSignedMoveLeftArmTestCase CommandInterpreterFactoryMethodTest CommandInterpreterGalahadSignedMoveLeftArmTestCase CommandInterpreterLancelotSignedMoveLeftArmTestCase CommandInterpreterRobinSignedMoveLeftArmTestCase IllegalCommandNameTestCase MissingFirstArgumentTestCase MissingSecondArgumentTestCase ScannerFactoryMethodTest StringTableFactoryMethodTest ,
4,Thu Oct 20 19:48:58 EDT 2016,5,0,CommandInterpreterErrorsSuite,StringTableTest , ,CommandInterpreterApproachedArthurMixedSayTestCase CommandInterpreterApproachedArthurSayTestCase CommandInterpreterArthurMixedMoveLeftArmTestCase CommandInterpreterArthurMoveLeftArmTestCase CommandInterpreterGalahadMoveLeftArmTestCase CommandInterpreterLancelotMoveLeftArmTestCase CommandInterpreterRobinMoveLeftArmTestCase IllegalCommandNameTestCase+ MissingFirstArgumentTestCase+ MissingSecondArgumentTestCase+ ,BridgeSceneFactoryMethodTest CommandInterpreterArthurSignedMoveLeftArmTestCase CommandInterpreterFactoryMethodTest CommandInterpreterGalahadSignedMoveLeftArmTestCase CommandInterpreterLancelotSignedMoveLeftArmTestCase CommandInterpreterRobinSignedMoveLeftArmTestCase ScannerFactoryMethodTest StringTableFactoryMethodTest ,
5,Thu Oct 20 19:49:05 EDT 2016,5,0,CommandInterpreterSignedMoveSuite,StringTableTest , ,CommandInterpreterApproachedArthurMixedSayTestCase CommandInterpreterApproachedArthurSayTestCase CommandInterpreterArthurMixedMoveLeftArmTestCase CommandInterpreterArthurMoveLeftArmTestCase CommandInterpreterArthurSignedMoveLeftArmTestCase+ CommandInterpreterGalahadMoveLeftArmTestCase CommandInterpreterGalahadSignedMoveLeftArmTestCase+ CommandInterpreterLancelotMoveLeftArmTestCase CommandInterpreterLancelotSignedMoveLeftArmTestCase+ CommandInterpreterRobinMoveLeftArmTestCase CommandInterpreterRobinSignedMoveLeftArmTestCase+ IllegalCommandNameTestCase MissingFirstArgumentTestCase MissingSecondArgumentTestCase ,BridgeSceneFactoryMethodTest CommandInterpreterFactoryMethodTest ScannerFactoryMethodTest StringTableFactoryMethodTest ,
6,Thu Oct 20 19:49:26 EDT 2016,21,16,FactoryMethodSuite,BridgeSceneFactoryMethodTest+ ScannerFactoryMethodTest+ StringTableFactoryMethodTest+ StringTableTest , ,CommandInterpreterApproachedArthurMixedSayTestCase CommandInterpreterApproachedArthurSayTestCase CommandInterpreterArthurMixedMoveLeftArmTestCase CommandInterpreterArthurMoveLeftArmTestCase CommandInterpreterArthurSignedMoveLeftArmTestCase CommandInterpreterFactoryMethodTest+ CommandInterpreterGalahadMoveLeftArmTestCase CommandInterpreterGalahadSignedMoveLeftArmTestCase CommandInterpreterLancelotMoveLeftArmTestCase CommandInterpreterLancelotSignedMoveLeftArmTestCase CommandInterpreterRobinMoveLeftArmTestCase CommandInterpreterRobinSignedMoveLeftArmTestCase IllegalCommandNameTestCase MissingFirstArgumentTestCase MissingSecondArgumentTestCase , ,
7,Thu Oct 20 19:51:37 EDT 2016,21,0,CommandInterpreterMoveSuite,BridgeSceneFactoryMethodTest ScannerFactoryMethodTest StringTableFactoryMethodTest StringTableTest , ,CommandInterpreterApproachedArthurMixedSayTestCase CommandInterpreterApproachedArthurSayTestCase CommandInterpreterArthurMixedMoveLeftArmTestCase CommandInterpreterArthurMoveLeftArmTestCase CommandInterpreterArthurSignedMoveLeftArmTestCase CommandInterpreterFactoryMethodTest CommandInterpreterGalahadMoveLeftArmTestCase CommandInterpreterGalahadSignedMoveLeftArmTestCase CommandInterpreterLancelotMoveLeftArmTestCase CommandInterpreterLancelotSignedMoveLeftArmTestCase CommandInterpreterRobinMoveLeftArmTestCase CommandInterpreterRobinSignedMoveLeftArmTestCase IllegalCommandNameTestCase MissingFirstArgumentTestCase MissingSecondArgumentTestCase , ,
8,Thu Oct 20 19:52:02 EDT 2016,21,0,CommandInterpreterApproachedArthurSayTestCase,BridgeSceneFactoryMethodTest ScannerFactoryMethodTest StringTableFactoryMethodTest StringTableTest , ,CommandInterpreterApproachedArthurMixedSayTestCase CommandInterpreterApproachedArthurSayTestCase CommandInterpreterArthurMixedMoveLeftArmTestCase CommandInterpreterArthurMoveLeftArmTestCase CommandInterpreterArthurSignedMoveLeftArmTestCase CommandInterpreterFactoryMethodTest CommandInterpreterGalahadMoveLeftArmTestCase CommandInterpreterGalahadSignedMoveLeftArmTestCase CommandInterpreterLancelotMoveLeftArmTestCase CommandInterpreterLancelotSignedMoveLeftArmTestCase CommandInterpreterRobinMoveLeftArmTestCase CommandInterpreterRobinSignedMoveLeftArmTestCase IllegalCommandNameTestCase MissingFirstArgumentTestCase MissingSecondArgumentTestCase , ,
9,Thu Oct 20 19:57:31 EDT 2016,21,0,CommandInterpreterMoveSuite,BridgeSceneFactoryMethodTest ScannerFactoryMethodTest StringTableFactoryMethodTest StringTableTest , ,CommandInterpreterApproachedArthurMixedSayTestCase CommandInterpreterApproachedArthurSayTestCase CommandInterpreterArthurMixedMoveLeftArmTestCase CommandInterpreterArthurMoveLeftArmTestCase CommandInterpreterArthurSignedMoveLeftArmTestCase CommandInterpreterFactoryMethodTest CommandInterpreterGalahadMoveLeftArmTestCase CommandInterpreterGalahadSignedMoveLeftArmTestCase CommandInterpreterLancelotMoveLeftArmTestCase CommandInterpreterLancelotSignedMoveLeftArmTestCase CommandInterpreterRobinMoveLeftArmTestCase CommandInterpreterRobinSignedMoveLeftArmTestCase IllegalCommandNameTestCase MissingFirstArgumentTestCase MissingSecondArgumentTestCase , ,
